Table 1.1.11. Real Gross Domestic Product: Percent Change From Quarter One Year Ago
Table 1.1.11. Real Gross Domestic Product: Percent Change From Quarter One Year Ago
"Last Revised on: April 27, 2023 - Next Release Date May 25, 2023"
9,"        Nonresidential",9.9,10.5,8.5,8.5,3.7,-1.5,-3.7,-6.8,-8.3,-7.4,-6.6,-5.1,-2.3,1.6,4.0,6.8,5.2,4.9,5.7,6.5,9.2,8.2,7.4,6.1,8.0,8.2,7.8,8.1,6.5,7.0,6.8,7.3,5.8,3.8,0.2,-7.0,-14.4,-17.1,-16.1,-10.3,-2.3,4.1,7.5,8.9,8.0,7.3,9.3,10.0,12.9,12.6,7.2,5.6,4.3,2.3,4.4,5.4,5.5,8.1,8.4,6.9,5.3,3.0,1.3,-0.1,-0.1,0.1,1.0,2.5,3.7,4.1,3.5,5.2,6.4,7.0,7.1,5.7,3.9,3.8,3.9,2.6,-0.1,-9.7,-6.4,-3.5,0.8,12.5,7.6,5.0,4.8,2.4,3.8,4.5,2.7
10,"            Structures",2.3,7.8,11.6,10.8,5.4,1.7,-1.0,-10.6,-12.9,-18.1,-22.6,-15.7,-11.6,-4.0,0.4,1.9,0.5,-1.5,0.5,0.3,3.8,2.7,0.6,1.5,3.9,7.6,10.1,9.0,9.0,11.6,14.8,17.7,14.0,9.7,4.1,-0.8,-8.6,-17.0,-22.2,-27.1,-26.5,-18.1,-13.4,-3.6,-4.3,-0.5,7.0,8.6,22.7,17.5,9.7,4.0,-2.9,-2.4,3.7,6.7,12.9,13.6,8.5,9.3,4.4,1.6,-1.9,-7.3,-9.8,-8.7,-2.0,3.6,8.7,7.4,1.0,0.8,3.5,4.9,6.4,1.7,-1.8,-0.3,4.7,6.6,5.5,-11.6,-17.4,-16.0,-14.8,-2.6,-1.7,-5.2,-6.6,-9.2,-8.4,-1.7,2.0
11,"            Equipment",11.2,11.3,8.0,8.5,3.1,-4.7,-7.5,-7.7,-9.2,-5.7,-2.3,-3.7,-1.1,3.3,5.7,9.6,7.8,8.2,8.4,9.8,12.2,10.3,10.5,8.7,12.5,11.0,8.0,7.1,3.9,4.2,3.9,3.9,1.9,-0.7,-4.3,-15.9,-24.9,-27.0,-22.7,-8.4,10.3,22.3,25.7,22.6,17.4,11.7,12.4,12.7,13.4,15.0,8.2,7.8,6.4,3.3,3.6,5.4,4.5,7.3,10.6,5.6,5.5,3.4,1.9,1.5,0.1,-1.5,-3.5,-2.2,-1.2,1.7,3.8,7.0,8.0,6.7,6.5,5.1,3.9,3.6,0.8,-3.1,-9.7,-20.0,-9.2,-2.7,5.8,23.2,9.4,4.7,6.0,2.0,5.2,3.9,-0.8
12,"            Intellectual property products",13.8,11.0,7.2,6.6,3.6,1.8,0.8,-2.1,-2.7,-1.2,-0.1,0.9,2.8,2.7,4.1,5.8,4.4,4.4,5.1,5.7,8.1,8.9,7.5,5.1,3.9,4.0,5.8,9.3,8.9,7.7,4.8,4.0,5.1,5.4,3.8,0.9,-3.6,-2.2,0.0,3.8,4.9,1.8,2.8,1.6,4.4,6.6,6.7,7.2,6.3,5.9,4.0,3.7,6.6,4.4,6.2,4.5,2.0,5.2,5.1,6.9,5.5,3.5,3.0,3.3,7.3,9.5,10.1,8.4,7.0,4.9,4.9,5.8,6.2,8.7,8.2,9.3,8.0,6.9,7.3,6.9,8.0,3.5,4.0,3.8,5.6,11.4,10.9,10.8,9.7,8.8,8.6,8.2,6.4
13,"        Residential",3.6,1.5,-0.9,-1.5,-1.5,0.5,2.7,2.0,4.9,5.8,5.5,8.1,6.6,5.6,11.4,12.7,11.9,13.6,8.2,6.6,7.8,6.4,6.8,5.2,1.8,-5.0,-11.3,-15.2,-18.3,-17.4,-18.1,-21.2,-24.1,-24.6,-23.5,-24.7,-26.1,-27.4,-19.9,-11.5,-5.2,6.3,-7.4,-5.7,-2.9,-6.6,4.3,5.3,12.0,11.7,12.6,15.4,12.8,15.4,14.5,7.1,2.7,2.7,2.3,7.7,10.6,9.8,11.2,9.2,10.4,7.8,4.5,4.0,3.3,4.0,4.2,4.6,0.7,1.0,0.0,-3.8,-3.0,-2.6,-0.3,2.0,6.8,-2.9,8.3,16.4,15.0,23.0,7.5,-0.3,-3.7,-7.2,-13.0,-18.8,-19.0
14,"    Change in private inventories",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
15,Net exports of goods and services,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
16,"    Exports",8.0,10.0,9.3,6.0,3.2,-2.8,-10.0,-12.2,-9.2,-3.6,1.9,4.0,1.5,-1.3,1.1,7.2,10.0,12.1,9.5,7.2,6.8,7.0,6.6,7.4,9.6,9.2,9.1,9.9,7.7,7.3,10.8,9.2,8.8,10.3,6.5,-2.0,-11.3,-13.2,-9.6,1.4,12.9,14.6,13.7,10.6,8.9,8.4,6.8,4.7,5.1,4.4,3.6,3.0,2.2,2.1,2.4,5.2,3.7,5.0,4.5,2.4,2.6,0.7,-0.6,-1.5,-1.0,-0.5,1.9,1.3,4.2,3.8,2.8,6.2,4.2,4.4,2.5,0.2,0.7,-0.4,0.9,0.8,-4.5,-24.0,-14.6,-10.0,-6.1,20.2,6.6,6.5,5.2,7.3,11.3,4.6,7.1
17,"        Goods",9.4,10.9,12.0,7.0,3.5,-3.5,-12.2,-12.8,-11.5,-4.6,1.7,1.5,2.7,-0.5,1.2,8.4,8.9,10.9,9.6,6.7,6.8,8.2,7.1,8.3,11.1,9.5,9.8,9.8,6.2,5.9,8.4,7.5,8.4,10.6,7.7,-2.9,-14.7,-17.9,-14.0,-0.1,14.8,18.8,15.9,11.5,9.5,8.1,6.6,5.8,5.2,4.9,4.5,1.3,1.5,1.8,1.7,6.8,4.2,5.3,5.8,2.7,2.5,0.5,-1.5,-2.8,-0.4,-1.1,1.7,2.4,4.1,3.8,2.4,6.1,4.4,7.0,4.3,1.2,2.0,-2.0,0.6,-0.1,-2.4,-24.1,-9.8,-4.5,-3.8,27.2,5.6,5.1,3.4,6.3,11.7,4.0,8.5
18,"        Services",4.6,7.6,2.8,3.3,2.3,-1.0,-3.9,-10.6,-3.0,-1.3,2.3,10.4,-1.4,-3.1,0.9,4.5,12.5,15.1,9.1,8.5,6.8,4.2,5.5,5.0,6.3,8.5,7.4,10.0,11.3,10.9,16.9,13.3,9.6,9.6,3.6,0.1,-3.4,-2.1,0.9,4.8,9.0,6.5,9.2,8.5,7.5,9.0,7.4,2.4,5.0,3.3,1.6,6.8,3.8,2.8,3.7,1.9,2.6,4.3,1.9,1.9,2.7,1.0,1.3,1.2,-2.1,0.6,2.1,-0.7,4.5,3.7,3.5,6.4,3.9,-0.3,-0.8,-1.8,-1.8,2.7,1.4,2.4,-8.3,-24.0,-23.0,-19.7,-10.5,7.9,8.8,9.3,9.1,9.6,10.4,6.0,4.0
19,"    Imports",13.4,13.8,13.8,11.1,5.7,-0.9,-6.5,-7.6,-3.7,2.8,6.5,9.6,6.1,4.1,4.4,5.9,9.3,12.0,11.8,10.9,8.8,6.0,5.2,6.1,7.4,7.0,7.5,4.0,3.4,2.9,2.4,1.6,0.5,-1.0,-2.8,-5.4,-14.7,-17.4,-12.9,-5.1,7.6,17.3,16.6,11.5,9.1,4.8,2.4,3.3,3.3,3.3,2.7,0.5,-0.1,0.9,1.1,2.9,4.3,5.2,4.6,6.5,6.7,5.1,5.8,3.3,1.7,1.0,0.9,2.2,3.9,4.8,4.0,5.3,4.6,3.7,5.2,3.3,2.8,2.8,1.0,-2.0,-5.5,-22.1,-8.4,0.4,5.7,30.5,13.3,10.1,12.7,11.2,7.4,1.5,-2.0
20,"        Goods",14.3,13.8,13.5,10.8,4.9,-2.1,-7.3,-8.1,-4.9,3.4,7.4,9.6,7.6,5.8,4.5,6.6,9.8,11.5,12.2,11.4,9.5,6.6,5.6,6.6,6.9,6.6,7.6,3.2,3.0,2.3,1.3,1.1,-0.3,-1.5,-3.7,-7.5,-17.8,-21.3,-15.8,-6.4,8.5,20.7,19.3,13.4,11.1,5.3,2.5,3.7,3.2,3.6,3.2,0.5,0.5,1.8,2.0,3.7,4.5,5.7,5.1,7.0,8.0,5.7,6.3,3.3,1.1,0.5,0.3,2.6,3.9,4.7,3.8,5.5,5.4,4.6,6.8,3.5,2.4,2.3,0.2,-2.9,-4.9,-19.7,-3.6,5.3,10.3,32.0,10.6,8.4,10.7,9.5,7.0,0.8,-2.9
21,"        Services",8.8,13.6,15.3,12.9,9.7,5.8,-2.2,-4.6,2.5,0.0,2.1,9.4,-1.0,-3.7,4.0,2.3,6.9,14.6,9.8,8.3,5.2,3.3,2.9,3.7,9.6,8.9,6.8,8.0,5.1,6.0,8.4,4.2,4.6,1.9,2.4,6.0,0.7,2.2,1.2,0.5,4.1,4.7,6.0,3.5,0.8,2.5,1.8,1.6,3.6,1.8,0.4,0.1,-3.0,-3.0,-3.1,-1.1,3.4,2.6,2.5,4.3,0.9,2.1,3.7,3.1,4.3,3.6,3.8,0.3,3.8,5.4,4.7,4.7,1.0,-0.1,-1.3,2.4,4.5,5.2,4.9,1.6,-8.0,-32.4,-28.0,-19.4,-14.2,23.4,28.0,18.8,24.2,20.5,9.5,5.0,2.7
22,Government consumption expenditures and gross investment,2.4,3.1,1.4,0.5,2.8,3.5,3.9,4.9,5.1,4.1,4.8,3.8,2.1,2.3,2.0,1.8,2.2,1.6,1.5,0.9,0.9,0.6,0.7,0.9,1.6,1.7,1.2,1.9,0.8,1.7,2.4,2.3,2.4,2.4,2.7,2.6,3.5,4.2,3.6,3.1,1.5,0.3,-0.6,-1.5,-2.2,-3.2,-3.9,-3.4,-2.6,-2.4,-1.2,-2.1,-2.5,-2.2,-2.6,-2.4,-1.9,-1.6,-0.4,0.3,1.3,2.0,1.8,2.2,2.7,1.7,1.8,1.6,0.3,0.6,0.1,0.7,1.1,1.7,2.4,1.6,2.6,3.2,3.4,4.0,3.6,4.1,1.6,1.0,1.8,-0.7,0.7,0.5,-1.6,-1.3,-0.3,0.9,2.6
23,"    Federal",0.0,3.3,-0.2,-1.9,3.7,2.0,4.6,5.5,6.7,7.2,7.6,8.1,5.9,7.5,6.4,6.5,6.5,3.5,4.7,2.6,2.6,1.9,1.6,1.8,3.3,2.7,1.0,2.4,-0.8,1.6,3.4,3.6,5.8,6.3,6.8,6.4,6.2,6.4,6.0,6.2,6.0,4.9,3.5,1.8,-0.7,-2.4,-4.1,-3.6,-2.2,-2.6,-0.2,-2.6,-4.8,-4.8,-6.4,-6.1,-4.0,-3.8,-1.3,-1.0,-0.5,0.2,-1.0,1.2,1.1,0.1,0.8,0.1,-0.5,0.8,0.1,1.3,2.2,2.5,4.0,3.2,3.4,4.2,4.1,4.0,4.2,9.8,5.4,5.4,8.7,-0.2,0.8,0.4,-4.9,-4.0,-1.3,0.1,3.4
24,"        National defense",-1.0,2.9,-2.1,-3.3,3.4,0.8,4.2,4.7,6.9,7.5,7.5,8.1,6.2,9.4,8.0,8.9,8.7,4.3,7.1,2.8,3.1,3.0,1.3,1.8,2.2,1.8,-0.7,3.1,0.0,2.4,5.2,3.9,6.5,6.0,7.7,7.4,6.0,6.8,5.2,4.9,5.1,3.2,2.2,1.3,-1.1,-1.4,-2.5,-3.6,-2.4,-4.0,-2.5,-4.7,-6.4,-5.8,-8.0,-6.5,-5.4,-5.4,-2.2,-3.4,-2.4,-1.7,-3.9,-0.4,-0.2,-1.8,0.3,-0.6,-0.9,2.1,0.4,2.0,2.3,2.1,4.3,4.5,6.6,5.3,5.3,4.1,2.6,3.1,1.7,4.2,1.2,0.1,-1.0,-5.0,-4.9,-3.9,-2.0,-0.2,3.6
25,"        Nondefense",1.8,4.1,3.1,0.4,4.1,3.9,5.2,6.8,6.3,6.8,7.7,8.2,5.3,4.3,3.7,2.6,2.8,2.2,0.7,2.3,1.8,0.1,2.1,1.9,5.3,4.4,4.2,1.3,-2.1,0.1,0.3,3.1,4.7,7.0,5.1,4.5,6.5,5.8,7.6,8.9,7.7,8.1,5.8,2.7,-0.1,-4.2,-6.8,-3.5,-1.7,0.0,3.9,1.2,-2.0,-3.0,-3.6,-5.4,-1.8,-1.2,0.1,2.8,2.4,3.3,3.6,3.7,3.0,2.9,1.4,1.1,0.0,-1.0,-0.4,0.2,2.0,3.0,3.5,1.4,-1.1,2.5,2.3,3.9,6.5,19.8,11.0,7.4,19.9,-0.6,3.3,8.2,-4.8,-4.1,-0.3,0.4,3.2
26,"    State and local",3.7,2.9,2.3,1.8,2.3,4.3,3.5,4.6,4.3,2.5,3.3,1.5,0.1,-0.6,-0.5,-0.8,-0.2,0.4,-0.4,-0.2,-0.2,-0.3,0.2,0.3,0.6,1.0,1.3,1.6,1.7,1.8,1.7,1.5,0.4,0.0,0.3,0.3,1.9,2.7,2.1,1.1,-1.4,-2.7,-3.4,-3.7,-3.3,-3.8,-3.8,-3.2,-2.9,-2.3,-1.8,-1.7,-1.0,-0.4,0.1,0.2,-0.5,-0.2,0.2,1.2,2.4,3.1,3.5,2.8,3.8,2.7,2.4,2.5,0.8,0.5,0.1,0.3,0.5,1.2,1.4,0.6,2.2,2.7,3.0,4.0,3.2,0.6,-0.7,-1.6,-2.3,-1.0,0.7,0.6,0.5,0.5,0.3,1.3,2.2
,Addenda:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"    Final sales of domestic product",4.9,4.7,3.8,3.2,2.6,1.9,1.3,1.5,1.2,1.1,1.6,0.9,1.3,2.2,3.4,4.3,4.2,3.6,3.0,3.1,3.5,4.0,3.9,2.9,3.4,2.6,1.8,2.9,1.9,2.1,2.7,2.3,1.7,1.9,0.6,-1.8,-2.2,-2.9,-1.8,-0.2,0.7,1.3,1.1,2.0,1.8,1.5,1.8,1.3,2.3,2.3,1.9,2.0,1.6,1.3,1.6,1.9,1.4,2.4,3.1,2.8,3.1,2.7,2.1,1.8,2.3,2.1,2.3,2.2,2.2,2.0,1.9,2.9,2.8,3.3,3.0,2.1,1.8,1.7,2.5,3.0,1.5,-6.7,-1.9,-1.8,1.5,11.5,5.3,4.8,2.1,0.5,1.5,1.3,2.6
28,"    Gross domestic purchases",5.0,5.9,4.7,3.7,2.6,1.1,0.6,0.4,1.7,2.0,2.7,2.7,2.2,2.5,3.6,4.2,4.5,4.6,4.1,4.0,4.3,3.6,3.4,3.0,3.2,3.0,2.5,2.1,1.2,1.5,1.6,1.3,0.5,0.0,-1.0,-3.1,-4.2,-5.0,-3.9,-0.9,1.4,3.6,4.1,3.2,2.3,1.4,0.4,1.4,2.4,2.3,2.5,1.2,1.3,1.1,1.7,2.2,1.5,2.6,2.9,3.2,4.4,3.7,3.1,2.5,2.0,1.6,1.5,2.1,1.9,2.2,2.5,2.8,3.2,3.2,3.5,2.7,2.4,2.5,2.3,2.1,0.5,-8.5,-1.5,-0.3,2.6,13.9,5.9,6.2,4.8,2.5,1.7,0.5,0.4
29,"    Final sales to domestic purchasers",5.6,5.3,4.5,3.9,2.9,2.0,1.4,1.6,1.5,1.8,2.2,1.7,1.9,2.8,3.8,4.2,4.4,3.9,3.6,3.7,3.9,4.1,3.8,3.0,3.4,2.6,2.0,2.4,1.5,1.7,1.9,1.5,0.7,0.5,-0.6,-2.4,-3.2,-3.9,-2.6,-1.1,0.3,2.0,1.9,2.4,2.1,1.2,1.3,1.2,2.1,2.2,1.8,1.7,1.3,1.1,1.4,1.7,1.6,2.5,3.1,3.5,3.7,3.4,3.0,2.4,2.6,2.2,2.2,2.3,2.2,2.2,2.1,2.8,2.9,3.3,3.4,2.5,2.1,2.2,2.4,2.5,1.2,-6.9,-1.4,-0.6,2.9,13.0,6.2,5.4,3.3,1.3,1.2,0.9,1.4
30,"    Final sales to private domestic purchasers1",6.3,5.8,5.2,4.7,3.0,1.6,0.9,0.9,0.8,1.3,1.7,1.3,1.9,2.9,4.2,4.8,4.9,4.5,4.0,4.4,4.6,4.9,4.5,3.4,3.8,2.8,2.2,2.5,1.7,1.7,1.8,1.3,0.4,0.1,-1.4,-3.5,-4.8,-5.8,-4.1,-2.1,0.0,2.5,2.5,3.4,3.2,2.3,2.6,2.4,3.3,3.3,2.5,2.5,2.1,1.9,2.3,2.6,2.3,3.4,3.9,4.2,4.2,3.6,3.2,2.5,2.6,2.4,2.2,2.4,2.6,2.6,2.5,3.3,3.2,3.6,3.6,2.7,2.0,1.9,2.2,2.2,0.7,-9.1,-2.0,-0.9,3.1,16.2,7.4,6.4,4.3,1.8,1.6,0.9,1.1
31,"    Gross domestic income (GDI)",5.1,5.2,5.1,3.6,2.7,1.8,0.4,-0.4,-0.3,0.8,1.6,3.2,1.9,1.8,2.6,2.7,3.6,4.0,4.1,3.8,3.8,3.6,3.2,4.2,4.9,4.3,3.9,2.5,1.0,1.1,-0.1,-0.3,-0.3,-1.0,-0.3,-2.6,-4.2,-3.7,-3.2,0.6,2.9,3.5,4.6,3.3,2.9,2.6,1.3,2.0,4.1,3.7,2.7,3.1,0.9,1.2,2.0,1.3,1.9,2.7,3.8,4.0,4.1,3.0,1.9,1.2,1.2,0.3,0.8,1.2,1.4,2.6,2.5,2.9,3.0,2.4,3.3,2.9,2.5,2.6,1.7,2.1,1.5,-7.7,-3.0,0.1,0.7,11.1,6.5,4.1,3.8,2.8,2.3,0.4,---
32,"    Average of GDP and GDI2",4.6,5.2,4.5,3.2,2.4,1.4,0.4,-0.1,0.5,1.1,1.9,2.6,1.8,1.9,2.9,3.5,4.0,4.1,3.8,3.6,3.9,3.6,3.3,3.6,4.0,3.6,3.1,2.6,1.3,1.5,1.1,0.9,0.5,0.2,0.0,-2.6,-3.8,-3.9,-3.2,0.3,2.3,3.2,4.0,3.1,2.4,2.2,1.1,1.8,3.3,3.0,2.6,2.3,1.3,1.2,2.0,1.9,1.6,2.6,3.3,3.3,3.9,3.0,2.0,1.5,1.4,0.8,1.2,1.6,1.6,2.3,2.4,2.8,3.0,2.9,3.2,2.6,2.4,2.4,2.0,2.3,1.2,-8.0,-2.5,-0.7,0.9,11.8,5.7,4.9,3.7,2.3,2.1,0.6,---
33,"    Gross national product",4.3,5.3,4.0,3.0,2.2,1.1,0.4,0.5,1.4,1.1,2.3,1.7,1.6,2.2,3.3,4.4,4.8,4.3,3.7,3.1,3.8,3.6,3.4,3.0,2.9,2.8,2.0,2.5,1.4,2.0,3.0,3.0,2.2,2.0,0.6,-3.0,-3.5,-4.2,-3.1,0.6,2.3,3.5,3.4,3.0,2.1,1.8,1.2,1.8,2.7,2.4,2.4,1.3,1.4,1.3,1.9,2.5,1.4,2.4,2.8,2.4,3.6,2.9,1.9,1.9,1.6,1.4,1.7,2.2,2.1,2.3,2.7,3.0,3.2,3.4,2.9,2.0,2.0,2.0,2.3,2.4,0.7,-8.8,-2.4,-1.9,0.9,12.2,4.7,5.7,3.6,2.0,1.9,0.7,---
